student_id,gender,ethnicity_group,parent_education,lunch_type,test_preparation,study_hours_week,attendance_rate,tutoring,extracurricular,math_score,reading_score,writing_score,final_grade_pct,passed
1006,Male,Group D,High School,Standard,Not Completed,7.1,0.987,Yes,No,87.6,95.0,86.4,89.7,1
1007,Male,Group E,Bachelor's,Standard,Not Completed,6.8,0.844,No,Yes,78.1,78.9,69.0,75.3,1
1008,Male,Group A,Bachelor's,Standard,Not Completed,4.0,0.777,No,No,61.7,63.7,62.6,62.7,1
1009,Female,Group D,High School,Standard,Not Completed,5.5,0.956,Yes,Yes,68.5,85.8,70.1,74.8,1
1010,Female,Group A,Some College,Standard,Not Completed,5.0,0.926,No,Yes,59.3,71.6,63.3,64.7,1
1011,Female,Group C,High School,Standard,Not Completed,8.4,0.81,No,Yes,74.4,77.7,75.0,75.7,1
1012,Male,Group B,Bachelor's,Free/Reduced,Not Completed,13.3,0.841,No,Yes,72.4,77.5,71.6,73.8,1
1013,Male,Group B,Associate's,Standard,Not Completed,2.8,0.831,Yes,Yes,63.4,58.3,63.6,61.8,1
1014,Female,Group B,Associate's,Standard,Not Completed,8.5,0.842,No,No,77.9,73.6,80.5,77.3,1
1015,Male,Group C,High School,Standard,Not Completed,4.8,0.874,No,Yes,71.9,72.4,71.4,71.9,1
1016,Male,Group B,High School,Free/Reduced,Not Completed,11.2,0.879,No,Yes,53.7,54.5,46.3,51.5,0
1017,Female,Group D,High School,Standard,Not Completed,8.5,0.848,Yes,No,82.1,73.3,79.3,78.2,1
1018,Male,Group C,Some College,Standard,Completed,2.3,0.839,Yes,No,71.2,68.6,69.8,69.9,1
1019,Male,Group A,Associate's,Standard,Not Completed,7.5,0.882,No,No,67.7,71.3,67.4,68.8,1
1020,Female,Group D,Bachelor's,Free/Reduced,Completed,6.2,0.913,No,Yes,77.6,88.1,82.1,82.6,1
1021,Male,Group B,Associate's,Standard,Not Completed,3.0,0.875,No,No,45.9,59.8,60.7,55.5,0
1022,Female,Group C,Some College,Free/Reduced,Completed,4.9,0.993,No,No,79.2,81.7,76.8,79.2,1
1023,Male,Group D,Master's,Free/Reduced,Not Completed,7.3,0.941,Yes,Yes,83.5,73.0,74.1,76.9,1
1024,Male,Group B,Bachelor's,Free/Reduced,Not Completed,5.0,0.773,No,Yes,49.7,48.2,43.9,47.3,0
1025,Male,Group A,Master's,Standard,Not Completed,11.9,0.942,No,No,77.1,84.6,80.8,80.8,1
1026,Female,Group C,Associate's,Standard,Not Completed,6.2,0.948,Yes,No,76.8,83.3,78.2,79.4,1
1027,Male,Group E,Some College,Standard,Not Completed,4.7,0.865,No,Yes,59.4,48.9,47.3,51.9,0
1028,Male,Group C,High School,Free/Reduced,Not Completed,7.5,0.78,Yes,Yes,70.9,67.2,62.6,66.9,1
1029,Female,Group D,Bachelor's,Standard,Completed,8.1,0.901,Yes,Yes,100.0,99.5,95.4,98.3,1
1030,Male,Group C,High School,Standard,Not Completed,11.2,0.899,Yes,Yes,80.3,86.1,80.4,82.3,1
1031,Female,Group B,Some College,Free/Reduced,Not Completed,6.9,0.81,No,No,54.8,60.2,60.9,58.6,0
1032,Male,Group C,Associate's,Standard,Completed,7.9,0.784,No,No,67.6,70.8,64.2,67.5,1
1033,Female,Group D,Associate's,Standard,Not Completed,5.5,0.893,Yes,Yes,54.8,66.7,58.5,60.0,1
1034,Female,Group A,Associate's,Standard,Completed,15.5,0.881,No,Yes,88.8,94.0,85.8,89.5,1
1035,Female,Group B,High School,Standard,Not Completed,8.4,0.867,No,Yes,67.5,68.0,68.1,67.9,1
1036,Male,Group B,Some College,Free/Reduced,Completed,7.4,0.893,No,Yes,70.7,72.0,76.5,73.1,1
1037,Female,Group C,Associate's,Standard,Not Completed,5.0,0.812,No,Yes,55.4,81.3,75.4,70.7,1
1038,Male,Group E,Master's,Standard,Completed,12.1,0.865,Yes,No,91.7,87.2,79.9,86.3,1
1039,Female,Group A,Bachelor's,Standard,Completed,2.1,0.943,No,No,65.4,78.8,69.1,71.1,1
1040,Female,Group C,Master's,Free/Reduced,Not Completed,7.5,0.872,No,No,75.6,68.7,72.9,72.4,1
1041,Male,Group B,Bachelor's,Free/Reduced,Not Completed,4.5,0.766,Yes,No,54.5,65.0,44.9,54.8,0
1042,Male,Group E,Associate's,Standard,Not Completed,10.6,0.862,Yes,No,85.6,83.4,72.8,80.6,1
1043,Female,Group A,High School,Standard,Completed,8.1,0.814,No,Yes,75.8,63.3,77.4,72.2,1
1044,Male,Group C,Associate's,Standard,Not Completed,7.4,0.921,No,No,65.8,66.3,66.4,66.2,1
1045,Male,Group D,Associate's,Free/Reduced,Not Completed,3.5,0.926,No,No,69.0,76.9,64.1,70.0,1
1046,Male,Group D,Associate's,Standard,Not Completed,6.5,0.767,No,No,55.9,43.8,44.4,48.0,0
1047,Female,Group C,Some College,Free/Reduced,Not Completed,8.3,0.961,Yes,Yes,75.0,83.8,78.3,79.0,1
1048,Female,Group B,Associate's,Standard,Not Completed,11.3,0.811,No,Yes,75.6,78.8,84.3,79.6,1
1049,Male,Group C,Some College,Standard,Completed,8.9,1.0,No,Yes,76.9,78.6,84.8,80.1,1
1050,Female,Group B,Associate's,Standard,Not Completed,10.6,0.896,No,Yes,64.4,70.8,68.8,68.0,1
1051,Male,Group B,High School,Free/Reduced,Completed,2.6,0.8,No,Yes,40.0,36.8,35.5,37.4,0
1052,Male,Group C,Bachelor's,Standard,Not Completed,7.3,0.809,No,No,61.6,51.4,65.7,59.6,0
1053,Male,Group B,High School,Free/Reduced,Not Completed,11.5,0.928,No,No,78.3,82.9,69.3,76.8,1
1054,Male,Group B,High School,Standard,Not Completed,1.3,0.869,Yes,No,60.1,66.2,63.7,63.3,1
1055,Male,Group D,Some College,Standard,Not Completed,5.9,0.892,No,Yes,76.6,89.0,78.1,81.2,1
1056,Female,Group E,Associate's,Standard,Completed,8.4,1.0,Yes,No,83.9,74.4,81.7,80.0,1
1057,Male,Group C,Some College,Free/Reduced,Completed,12.4,0.844,No,No,75.6,84.7,83.6,81.3,1
1058,Female,Group A,Some College,Standard,Not Completed,7.1,0.905,No,Yes,61.8,53.9,58.5,58.1,0
1059,Female,Group A,Associate's,Free/Reduced,Not Completed,6.7,1.0,No,Yes,59.4,73.8,55.7,63.0,1
1060,Male,Group E,Some College,Free/Reduced,Not Completed,7.9,0.922,No,Yes,60.8,69.2,68.6,66.2,1
1061,Male,Group B,Master's,Free/Reduced,Completed,8.4,0.771,No,No,64.7,63.6,65.0,64.4,1
1062,Male,Group A,Master's,Standard,Completed,3.9,0.94,No,Yes,67.1,73.6,69.7,70.1,1
1063,Male,Group C,Associate's,Free/Reduced,Completed,5.0,0.807,Yes,Yes,67.1,66.2,75.1,69.5,1
1064,Female,Group C,Some College,Free/Reduced,Not Completed,1.9,1.0,Yes,No,72.9,71.8,63.7,69.5,1
1065,Female,Group C,Bachelor's,Standard,Not Completed,4.5,0.834,No,Yes,72.6,78.1,73.3,74.7,1
1066,Male,Group B,High School,Standard,Not Completed,3.3,1.0,No,Yes,73.8,83.5,79.6,79.0,1
1067,Female,Group A,Some College,Standard,Not Completed,3.9,1.0,Yes,No,84.4,94.9,86.2,88.5,1
1068,Female,Group E,Some College,Standard,Not Completed,20.0,0.836,No,No,82.9,85.0,81.4,83.1,1
1069,Female,Group B,Master's,Standard,Not Completed,12.0,0.902,Yes,Yes,89.7,96.6,83.6,90.0,1
1070,Female,Group D,High School,Standard,Not Completed,3.4,0.96,Yes,No,63.2,62.0,54.6,59.9,0
1071,Female,Group D,Associate's,Standard,Completed,2.8,0.963,No,Yes,76.0,70.0,70.4,72.1,1
1072,Female,Group C,Bachelor's,Standard,Completed,4.7,0.935,No,No,83.6,81.0,82.7,82.4,1
1073,Female,Group B,Some College,Standard,Not Completed,2.8,1.0,No,Yes,75.8,93.0,78.7,82.5,1
1074,Female,Group B,High School,Standard,Not Completed,7.8,0.89,Yes,Yes,84.9,78.8,75.4,79.7,1
1075,Male,Group C,Master's,Standard,Not Completed,7.7,0.871,No,Yes,80.9,91.2,79.0,83.7,1
1076,Female,Group E,Associate's,Standard,Completed,3.8,0.872,Yes,No,58.2,67.5,65.2,63.6,1
1077,Female,Group E,Associate's,Standard,Completed,9.9,0.969,No,No,85.2,80.2,69.6,78.3,1
1078,Male,Group A,High School,Standard,Completed,9.9,0.929,No,No,79.0,81.7,79.3,80.0,1
1079,Female,Group B,Some College,Standard,Completed,4.4,0.923,No,No,79.4,81.6,85.8,82.3,1
1080,Male,Group E,Some College,Free/Reduced,Not Completed,3.7,0.964,No,No,58.7,56.0,53.3,56.0,0
1081,Male,Group D,High School,Standard,Not Completed,5.2,0.736,No,Yes,60.6,48.2,52.7,53.8,0
1082,Female,Group E,High School,Free/Reduced,Not Completed,9.2,0.925,No,No,71.7,75.5,65.9,71.0,1
1083,Female,Group B,Bachelor's,Standard,Not Completed,19.1,0.917,No,Yes,82.6,80.0,82.9,81.8,1
1084,Male,Group C,High School,Standard,Completed,9.1,1.0,No,No,93.0,94.3,92.0,93.1,1
1085,Male,Group D,High School,Standard,Not Completed,3.2,0.778,No,Yes,46.1,48.0,45.8,46.6,0
1086,Female,Group D,Associate's,Standard,Not Completed,8.1,1.0,Yes,Yes,73.2,69.7,65.5,69.5,1
1087,Male,Group C,Bachelor's,Free/Reduced,Not Completed,7.2,0.906,No,No,67.5,76.5,74.4,72.8,1
1088,Female,Group A,High School,Standard,Completed,6.9,0.939,No,Yes,79.1,82.9,87.1,83.0,1
1089,Male,Group C,Associate's,Standard,Not Completed,2.8,1.0,Yes,Yes,83.7,84.2,74.8,80.9,1
1090,Female,Group B,High School,Standard,Not Completed,8.1,0.945,Yes,Yes,81.7,85.0,78.7,81.8,1
1091,Male,Group C,High School,Standard,Not Completed,6.6,0.932,No,Yes,66.4,72.8,63.0,67.4,1
1092,Male,Group E,High School,Free/Reduced,Not Completed,3.1,0.919,No,No,57.3,49.9,54.8,54.0,0
1093,Male,Group C,Bachelor's,Free/Reduced,Not Completed,16.4,0.861,Yes,No,68.8,73.9,67.5,70.1,1
1094,Female,Group D,High School,Standard,Completed,2.9,0.898,Yes,No,52.2,62.6,47.7,54.2,0
1095,Female,Group B,High School,Standard,Not Completed,8.7,0.843,Yes,Yes,68.8,71.0,69.4,69.7,1
1096,Female,Group D,Some College,Standard,Completed,6.1,0.896,No,Yes,79.8,87.1,82.0,83.0,1
1097,Female,Group E,Bachelor's,Free/Reduced,Not Completed,5.4,0.713,No,Yes,63.5,63.5,61.9,63.0,1
1098,Female,Group A,Some College,Standard,Not Completed,13.2,0.934,No,No,75.1,79.1,79.1,77.8,1
1099,Male,Group A,Some College,Standard,Completed,11.1,0.89,Yes,Yes,100.0,100.0,85.1,95.0,1
1100,Female,Group C,High School,Free/Reduced,Not Completed,6.1,0.873,No,Yes,64.3,64.4,57.1,61.9,1
1101,Female,Group A,Some College,Standard,Not Completed,4.0,0.918,No,No,54.4,67.9,54.1,58.8,0
1102,Male,Group D,Associate's,Standard,Completed,5.0,0.785,Yes,No,63.4,58.3,65.6,62.4,1
1103,Male,Group E,Associate's,Free/Reduced,Not Completed,5.6,1.0,No,No,84.6,91.4,76.1,84.0,1
1104,Male,Group C,Some College,Standard,Completed,11.3,0.892,No,Yes,84.9,87.4,77.0,83.1,1
1105,Male,Group B,Some College,Standard,Not Completed,8.3,0.888,No,Yes,55.6,70.7,57.7,61.3,1
1106,Female,Group C,High School,Standard,Not Completed,11.5,0.823,No,No,56.1,56.4,62.7,58.4,0
1107,Female,Group D,Some College,Standard,Not Completed,2.7,0.902,No,No,71.0,68.7,65.3,68.3,1
1108,Male,Group A,High School,Standard,Completed,12.0,1.0,No,Yes,71.1,73.4,73.9,72.8,1
1109,Male,Group C,Bachelor's,Free/Reduced,Not Completed,14.3,0.983,No,Yes,93.0,96.9,99.3,96.4,1
1110,Female,Group C,Master's,Standard,Completed,4.1,0.968,No,Yes,64.5,56.3,66.3,62.4,1
1111,Male,Group C,Master's,Free/Reduced,Completed,10.5,0.944,No,Yes,87.7,100.0,99.0,95.6,1
1112,Female,Group B,Bachelor's,Free/Reduced,Not Completed,13.6,0.871,No,No,81.2,87.5,83.3,84.0,1
1113,Female,Group D,Associate's,Standard,Not Completed,4.7,0.784,No,Yes,64.1,61.1,63.4,62.9,1
1114,Male,Group A,Bachelor's,Standard,Not Completed,3.3,0.884,No,No,63.8,65.0,57.9,62.2,1
1115,Male,Group B,Some College,Standard,Not Completed,7.6,0.881,No,Yes,82.1,74.8,82.7,79.9,1
1116,Male,Group E,Associate's,Free/Reduced,Not Completed,1.8,0.984,No,No,74.8,74.5,72.3,73.9,1
1117,Female,Group D,Some College,Free/Reduced,Not Completed,11.9,0.925,No,Yes,60.2,74.0,57.9,64.0,1
1118,Male,Group A,Some College,Standard,Completed,3.8,1.0,No,No,58.7,60.5,57.8,59.0,0
1119,Female,Group B,Bachelor's,Free/Reduced,Completed,5.8,0.996,No,Yes,77.7,81.6,75.2,78.2,1
1120,Female,Group B,Some College,Standard,Completed,9.9,0.863,No,No,81.0,79.3,78.0,79.4,1
1121,Male,Group B,Some College,Free/Reduced,Completed,9.2,0.756,Yes,No,63.1,67.3,55.3,61.9,1
1122,Male,Group B,Master's,Standard,Not Completed,9.7,1.0,No,Yes,77.2,87.2,81.6,82.0,1
1123,Male,Group A,High School,Standard,Completed,4.1,1.0,No,No,73.3,71.2,60.8,68.4,1
1124,Male,Group C,Some College,Free/Reduced,Completed,8.0,0.791,No,Yes,68.5,67.3,63.1,66.3,1
1125,Male,Group D,Master's,Standard,Not Completed,10.8,1.0,Yes,Yes,100.0,91.7,93.0,94.9,1
1126,Male,Group C,Associate's,Standard,Completed,4.6,0.931,No,Yes,88.2,81.0,86.5,85.2,1
1127,Female,Group D,Associate's,Standard,Not Completed,17.1,0.913,No,Yes,90.1,88.2,83.6,87.3,1
1128,Female,Group A,High School,Standard,Not Completed,5.9,1.0,No,Yes,68.6,70.0,62.8,67.1,1
1129,Female,Group E,Some College,Standard,Completed,1.7,1.0,No,Yes,79.2,76.0,72.5,75.9,1
1130,Female,Group D,Bachelor's,Free/Reduced,Completed,5.9,0.952,Yes,Yes,93.0,81.2,74.6,82.9,1
1131,Male,Group D,Associate's,Standard,Not Completed,13.5,0.938,No,No,74.0,68.4,61.5,68.0,1
1132,Female,Group D,Associate's,Standard,Completed,3.7,0.949,Yes,No,83.2,83.8,75.6,80.9,1
1133,Female,Group E,High School,Free/Reduced,Not Completed,3.5,0.868,No,Yes,62.6,79.0,66.5,69.4,1
1134,Female,Group C,High School,Standard,Not Completed,8.4,0.896,No,No,63.0,67.2,65.5,65.2,1
1135,Male,Group B,Master's,Standard,Completed,3.3,0.828,No,Yes,52.5,57.8,60.1,56.8,0
1136,Female,Group C,Some College,Free/Reduced,Not Completed,3.2,0.873,No,No,55.7,58.9,57.3,57.3,0
1137,Male,Group D,Associate's,Free/Reduced,Completed,3.9,0.871,No,No,60.7,66.9,51.3,59.6,0
1138,Female,Group D,High School,Standard,Not Completed,15.5,0.849,No,Yes,79.0,78.5,83.3,80.3,1
1139,Female,Group C,Associate's,Free/Reduced,Not Completed,8.9,0.911,No,Yes,77.5,68.5,69.2,71.7,1
1140,Male,Group A,Master's,Standard,Not Completed,6.9,0.874,Yes,Yes,78.7,76.5,78.3,77.8,1
1141,Male,Group C,Associate's,Free/Reduced,Not Completed,4.1,0.94,No,Yes,59.1,63.7,59.3,60.7,1
1142,Female,Group E,High School,Standard,Not Completed,10.7,0.77,No,No,59.9,64.9,60.3,61.7,1
1143,Male,Group C,Associate's,Free/Reduced,Completed,9.4,0.891,No,No,76.6,81.3,72.2,76.7,1
1144,Male,Group C,Bachelor's,Standard,Not Completed,16.1,0.911,No,No,79.1,75.2,79.4,77.9,1
1145,Female,Group B,Some College,Free/Reduced,Completed,3.6,0.875,No,Yes,53.3,49.8,51.6,51.6,0
1146,Male,Group B,Bachelor's,Free/Reduced,Not Completed,3.3,0.886,Yes,No,72.7,77.0,79.6,76.4,1
1147,Male,Group E,Associate's,Free/Reduced,Not Completed,1.8,0.773,Yes,No,50.5,58.1,47.6,52.1,0
1148,Male,Group D,Bachelor's,Standard,Not Completed,9.1,0.929,No,Yes,89.2,73.6,68.0,76.9,1
1149,Male,Group D,Associate's,Standard,Not Completed,7.7,0.952,No,Yes,81.5,74.4,69.5,75.1,1
1150,Male,Group C,High School,Standard,Not Completed,5.3,0.939,No,No,59.5,65.9,71.2,65.5,1
1151,Male,Group C,Some College,Free/Reduced,Not Completed,1.7,0.983,Yes,No,45.0,63.5,55.0,54.5,0
1152,Male,Group B,High School,Standard,Not Completed,14.4,0.916,No,Yes,61.7,65.9,60.7,62.8,1
1153,Male,Group D,Master's,Free/Reduced,Not Completed,7.5,0.938,No,Yes,73.8,75.9,63.1,70.9,1
1154,Male,Group C,Bachelor's,Free/Reduced,Not Completed,12.8,0.912,Yes,No,82.0,93.2,83.9,86.4,1
1155,Male,Group C,Associate's,Standard,Not Completed,13.5,0.955,Yes,No,85.1,80.5,73.9,79.8,1
1156,Male,Group C,Some College,Free/Reduced,Not Completed,8.9,0.774,No,Yes,55.5,51.2,49.8,52.2,0
1157,Female,Group E,High School,Standard,Completed,9.7,0.829,Yes,Yes,91.0,87.9,88.8,89.2,1
1158,Male,Group A,Bachelor's,Standard,Not Completed,4.5,1.0,No,Yes,63.9,52.9,61.3,59.4,0
1159,Male,Group D,Some College,Standard,Completed,7.1,0.703,No,Yes,53.2,55.6,57.6,55.5,0
1160,Female,Group B,High School,Standard,Not Completed,11.6,0.889,No,Yes,83.1,84.7,86.5,84.8,1
1161,Male,Group C,Associate's,Free/Reduced,Completed,4.0,0.994,Yes,No,81.3,83.9,69.0,78.1,1
1162,Female,Group A,High School,Standard,Not Completed,11.2,0.893,No,No,63.3,65.5,62.4,63.7,1
1163,Female,Group B,Some College,Standard,Completed,10.8,0.868,No,Yes,95.5,85.5,84.0,88.3,1
1164,Male,Group C,Some College,Free/Reduced,Not Completed,10.6,0.91,Yes,Yes,77.3,75.3,65.2,72.6,1
1165,Female,Group A,High School,Free/Reduced,Completed,6.8,0.872,No,Yes,65.0,58.7,60.9,61.5,1
1166,Male,Group C,Master's,Standard,Completed,4.2,0.902,Yes,No,84.4,91.8,82.4,86.2,1
1167,Male,Group E,High School,Free/Reduced,Completed,17.0,0.845,No,Yes,75.4,69.1,72.6,72.4,1
1168,Female,Group A,High School,Standard,Not Completed,13.9,0.989,No,No,68.6,66.6,69.7,68.3,1
1169,Female,Group D,High School,Standard,Not Completed,6.9,1.0,No,Yes,70.5,75.2,65.3,70.3,1
1170,Female,Group C,Bachelor's,Standard,Not Completed,7.7,0.889,Yes,No,64.7,74.2,72.9,70.6,1
1171,Male,Group D,Some College,Standard,Not Completed,5.7,0.789,No,Yes,64.0,52.2,46.7,54.3,0
1172,Male,Group B,Associate's,Free/Reduced,Completed,1.8,0.858,No,Yes,66.6,71.4,63.8,67.3,1
1173,Male,Group B,High School,Standard,Not Completed,6.3,0.885,No,No,79.0,67.4,59.3,68.6,1
1174,Female,Group B,High School,Free/Reduced,Not Completed,8.9,0.94,Yes,No,91.0,79.1,73.5,81.2,1
1175,Male,Group A,Some College,Standard,Not Completed,4.7,0.819,No,Yes,59.8,59.0,57.6,58.8,0
1176,Male,Group B,Bachelor's,Standard,Not Completed,5.5,0.838,No,Yes,70.8,75.4,63.1,69.8,1
1177,Male,Group D,Bachelor's,Free/Reduced,Not Completed,5.5,0.941,No,No,67.8,76.8,64.4,69.7,1
1178,Female,Group E,High School,Free/Reduced,Completed,7.2,0.975,Yes,No,83.5,80.7,89.9,84.7,1
1179,Male,Group D,Associate's,Standard,Not Completed,5.8,0.85,No,No,61.8,60.6,52.9,58.4,0
1180,Male,Group D,Master's,Standard,Not Completed,3.8,0.793,No,Yes,59.0,60.4,63.6,61.0,1
1181,Male,Group A,Some College,Standard,Not Completed,7.2,1.0,Yes,No,91.0,83.8,80.5,85.1,1
1182,Female,Group B,Bachelor's,Standard,Not Completed,8.7,0.963,Yes,No,65.3,80.4,65.8,70.5,1
1183,Male,Group B,High School,Free/Reduced,Not Completed,7.6,0.879,No,Yes,52.8,62.4,59.3,58.2,0
1184,Male,Group B,Master's,Free/Reduced,Completed,1.7,0.97,Yes,Yes,58.3,56.8,65.1,60.1,1
1185,Female,Group C,Bachelor's,Standard,Completed,9.6,0.89,No,No,74.8,70.3,64.0,69.7,1
1186,Male,Group C,Master's,Free/Reduced,Completed,3.1,0.969,No,Yes,72.4,71.9,66.1,70.1,1
1187,Male,Group B,Associate's,Standard,Completed,8.6,0.913,No,Yes,82.7,95.7,90.5,89.6,1
1188,Female,Group B,Some College,Standard,Not Completed,8.8,0.907,No,Yes,79.2,84.4,75.8,79.8,1
1189,Female,Group D,Master's,Standard,Completed,2.3,0.891,Yes,No,69.5,75.5,80.0,75.0,1
1190,Male,Group D,Some College,Standard,Completed,11.0,0.784,No,Yes,73.5,75.0,79.3,75.9,1
1191,Female,Group B,Some College,Standard,Completed,16.9,1.0,No,No,99.0,96.3,100.0,98.4,1
1192,Male,Group E,Bachelor's,Standard,Not Completed,5.6,0.825,No,No,61.7,67.7,64.4,64.6,1
1193,Female,Group E,Bachelor's,Standard,Completed,8.6,0.791,No,No,67.5,76.6,63.2,69.1,1
1194,Male,Group B,Master's,Standard,Completed,5.0,0.883,No,Yes,77.7,81.0,76.9,78.5,1
1195,Female,Group B,High School,Free/Reduced,Completed,3.1,0.823,No,Yes,65.0,50.2,54.4,56.5,0
1196,Male,Group C,Bachelor's,Standard,Not Completed,11.6,0.896,No,Yes,66.7,66.3,71.2,68.1,1
1197,Male,Group E,Bachelor's,Standard,Completed,8.7,0.955,Yes,No,91.4,90.9,92.2,91.5,1
1198,Male,Group E,High School,Free/Reduced,Completed,4.3,0.98,No,Yes,76.2,68.0,73.0,72.4,1
1199,Male,Group A,Some College,Free/Reduced,Completed,3.2,0.965,No,Yes,71.7,72.2,75.9,73.3,1
1200,Female,Group C,Some College,Free/Reduced,Not Completed,17.4,0.876,No,No,84.9,81.2,78.5,81.5,1
1201,Male,Group C,Some College,Standard,Completed,2.6,0.904,No,Yes,76.7,79.4,75.5,77.2,1
1202,Female,Group C,Master's,Standard,Not Completed,9.4,0.933,Yes,No,72.0,91.2,77.7,80.3,1
1203,Female,Group B,Associate's,Standard,Not Completed,7.4,0.759,Yes,Yes,73.7,72.4,64.0,70.0,1
1204,Female,Group E,Bachelor's,Standard,Not Completed,10.3,0.946,No,No,80.5,68.2,79.2,76.0,1
1205,Female,Group D,Master's,Free/Reduced,Completed,14.9,0.783,No,Yes,81.0,72.9,82.3,78.7,1
1206,Male,Group D,Some College,Standard,Not Completed,0.8,1.0,No,Yes,66.2,77.0,65.0,69.4,1
1207,Male,Group E,Bachelor's,Standard,Not Completed,3.4,0.868,No,Yes,45.8,51.9,45.3,47.7,0
1208,Female,Group D,Some College,Standard,Completed,6.2,0.885,No,No,75.7,85.0,77.8,79.5,1
1209,Female,Group C,Bachelor's,Standard,Completed,15.6,0.838,Yes,No,81.9,88.3,80.7,83.6,1
1210,Male,Group C,High School,Free/Reduced,Not Completed,5.2,0.85,Yes,No,62.4,56.0,48.6,55.7,0
1211,Female,Group B,Master's,Standard,Completed,4.6,1.0,No,Yes,86.5,89.8,87.9,88.1,1
1212,Female,Group D,High School,Standard,Completed,1.2,0.975,Yes,Yes,60.5,61.4,67.6,63.2,1
1213,Female,Group B,Some College,Standard,Not Completed,4.3,0.776,Yes,No,57.4,57.1,43.5,52.7,0
1214,Male,Group D,Bachelor's,Standard,Not Completed,9.2,1.0,Yes,No,82.0,86.8,77.3,82.0,1
1215,Male,Group B,Some College,Standard,Not Completed,6.2,0.995,Yes,Yes,58.3,76.6,76.3,70.4,1
1216,Female,Group A,Associate's,Standard,Not Completed,4.2,0.878,No,Yes,54.4,59.5,60.6,58.2,0
1217,Female,Group B,Some College,Standard,Not Completed,17.5,0.925,No,No,88.0,96.9,95.6,93.5,1
1218,Male,Group A,Bachelor's,Free/Reduced,Completed,5.6,0.899,Yes,No,94.1,100.0,99.9,98.0,1
1219,Male,Group D,High School,Free/Reduced,Completed,7.2,1.0,Yes,No,60.2,58.1,60.8,59.7,0
1220,Female,Group D,High School,Free/Reduced,Not Completed,4.0,0.836,Yes,Yes,61.8,72.6,67.3,67.2,1
1221,Male,Group C,Some College,Free/Reduced,Not Completed,3.1,0.912,No,Yes,55.2,61.7,61.4,59.4,0
1222,Female,Group B,Some College,Standard,Not Completed,9.9,0.866,No,Yes,71.6,71.9,72.4,72.0,1
1223,Female,Group A,High School,Standard,Not Completed,2.0,0.785,No,Yes,51.0,51.2,38.4,46.9,0
1224,Male,Group A,Some College,Standard,Not Completed,8.8,1.0,No,Yes,80.5,80.6,77.0,79.4,1
1225,Female,Group B,Some College,Free/Reduced,Completed,0.6,0.805,No,No,53.2,44.6,48.0,48.6,0
1226,Male,Group E,High School,Free/Reduced,Completed,8.1,0.918,No,No,59.0,62.3,66.5,62.6,1
1227,Female,Group B,Associate's,Free/Reduced,Not Completed,3.3,0.761,No,Yes,48.6,45.6,39.7,44.6,0
1228,Female,Group B,Bachelor's,Standard,Completed,3.7,0.868,No,No,75.1,85.2,73.4,77.9,1
1229,Male,Group A,High School,Free/Reduced,Not Completed,5.6,0.934,No,No,47.7,56.5,49.3,51.2,0
1230,Female,Group B,Associate's,Standard,Completed,2.9,0.834,No,Yes,54.6,65.5,58.7,59.6,0
1231,Male,Group C,Associate's,Standard,Not Completed,1.6,0.947,No,No,59.7,44.8,49.2,51.2,0
1232,Female,Group C,Some College,Standard,Not Completed,6.0,0.878,No,Yes,63.2,68.6,65.0,65.6,1
1233,Female,Group B,Bachelor's,Standard,Completed,10.2,0.993,Yes,Yes,89.6,91.7,90.2,90.5,1
1234,Female,Group A,Some College,Standard,Not Completed,7.6,1.0,No,Yes,76.5,76.3,84.5,79.1,1
1235,Male,Group C,Associate's,Standard,Completed,12.4,0.853,No,No,96.1,86.2,89.0,90.4,1
1236,Female,Group B,High School,Standard,Not Completed,1.8,0.906,Yes,No,74.8,78.2,79.5,77.5,1
1237,Male,Group B,Associate's,Standard,Not Completed,5.2,0.915,No,No,47.3,44.7,38.4,43.5,0
1238,Female,Group E,Associate's,Free/Reduced,Not Completed,6.8,0.95,Yes,No,74.0,77.5,75.2,75.6,1
1239,Male,Group C,High School,Free/Reduced,Not Completed,3.8,0.901,No,Yes,50.3,63.2,55.6,56.4,0
1240,Female,Group C,Some College,Standard,Completed,7.0,0.915,Yes,No,87.3,88.5,81.9,85.9,1
1241,Male,Group C,Master's,Free/Reduced,Not Completed,12.0,0.881,No,No,62.2,65.7,61.4,63.1,1
1242,Male,Group C,Some College,Free/Reduced,Completed,8.9,0.909,Yes,Yes,64.8,68.5,63.2,65.5,1
1243,Male,Group C,Associate's,Standard,Completed,12.9,1.0,Yes,Yes,95.3,97.2,90.2,94.2,1
1244,Male,Group D,Master's,Standard,Completed,7.9,0.952,No,Yes,90.0,96.7,95.1,93.9,1
1245,Male,Group D,Bachelor's,Standard,Not Completed,6.3,0.956,No,No,84.3,83.9,71.6,79.9,1
1246,Male,Group B,Associate's,Standard,Completed,15.0,0.958,No,Yes,100.0,96.0,87.0,94.3,1
1247,Female,Group C,Bachelor's,Free/Reduced,Not Completed,7.2,0.888,No,Yes,68.9,77.0,65.8,70.6,1
1248,Female,Group C,Bachelor's,Free/Reduced,Not Completed,16.8,0.926,No,No,79.0,88.6,76.9,81.5,1
1249,Male,Group E,Some College,Standard,Not Completed,11.1,0.813,Yes,No,71.1,76.6,71.7,73.1,1
1250,Male,Group C,Some College,Free/Reduced,Not Completed,4.3,1.0,No,No,65.0,77.8,75.4,72.7,1
